type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc;;;;
article,3125445,Alessandro  Piscopo and Pavlos  Vougiouklis and Lucie-Aim&#233;"e  Kaffee and Christopher  Phethean and Jonathon  Hare and Elena  Simperl,,,,What Do Wikidata and Wikipedia Have in Common?: An Analysis of Their Use of External References,1:1--1:10,1,10,""Wikidata, Wikipedia, citations, provenance"",10.1145/3125433.3125445,,,,,,,2017,,Proceedings of the 13th International Symposium on Open Collaboration,OpenSym '17,,978-1-4503-5187-4,""Galway, Ireland"",ACM,""New York, NY, USA""";;;
article,3191647,Tom&#225;s  S&#225;"ez and Aidan  Hogan,,,,Automatically Generating Wikipedia Info-boxes from Wikidata,1823--1830,,8,""infobox, pagerank, wikidata, wikipedia"",10.1145/3184558.3191647,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;
article,3191643,Thomas  Pellissier Tanon and Lucie-Aim&#233;"e  Kaffee,,,,Property Label Stability in Wikidata: Evolution and Convergence of Schemas in Collaborative Knowledge Bases,1801--1803,,3,""collaborative ontology building, schema, wikidata"",10.1145/3184558.3191643,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;
article,2891109,Johanna  Gei&#223;" and Michael  Gertz,,,,With a Little Help from My Neighbors: Person Name Linking Using the Wikipedia Social Network,985--990,,6,""nel, social network, wikidata, wikipedia"",10.1145/2872518.2891109,,,,,,,2016,,Proceedings of the 25th International Conference Companion on World Wide Web,WWW '16 Companion,,978-1-4503-4144-8,""Montr&#233";al, Qu&#233;"bec, Canada"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";
"article,3191641,Vevake  Balaraman and Simon  Razniewski and Werner  Nutt,,,,Recoin: Relative Completeness in Wikidata,1787--1792,,6,""data completeness, data quality, knowledge bases, wikidata"",10.1145/3184558.3191641,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
article,2957804,Eva  Zangerle and Wolfgang  Gassler and Martin  Pichl and Stefan  Steinhauser and G&#252;"nther  Specht,,,,An Empirical Evaluation of Property Recommender Systems for Wikidata and Collaborative Knowledge Bases,18:1--18:8,18,8,""Evaluation, Recommender Systems, Wikidata, Wikipedia"",10.1145/2957792.2957804,,,,,,,2016,,Proceedings of the 12th International Symposium on Open Collaboration,OpenSym '16,,978-1-4503-4451-7,""Berlin, Germany"",ACM,""New York, NY, USA""";;;
"article,2789849,Max  Klein and Piotr  Konieczny,,,,Wikipedia in the World of Global Gender Inequality Indices: What the Biography Gender Gap is Measuring,16:1--16:2,16,2,""Wikidata, Wikipedia, data mining, demographics, gender gap"",10.1145/2788993.2789849,,,,,,,2015,,Proceedings of the 11th International Symposium on Open Collaboration,OpenSym '15,,978-1-4503-3666-6,""San Francisco, California"",ACM,""New York, NY, USA""";;;;
"article,3053366,Amir  Sarabadani and Aaron  Halfaker and Dario  Taraborelli,,,,Building Automated Vandalism Detection Tools for Wikidata,1647--1654,,8,""knowledge bases, quality control, vandalism, wikidata"",10.1145/3041021.3053366,,,,,,,2017,,Proceedings of the 26th International Conference on World Wide Web Companion,WWW '17 Companion,,978-1-4503-4914-7,""Perth, Australia"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;;
article,3191645,Finn &#197;"rup Nielsen,,,,Linking ImageNet WordNet Synsets with Wikidata,1809--1814,,6,""imagenet, machine learning, ontology alignment, wikidata, wordnet"",10.1145/3184558.3191645,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;;
"article,2641613,Thomas  Steiner,,,,""Bots vs. Wikipedians, Anons vs. Logged-Ins (Redux): A Global Study of Edit Activity on Wikipedia and Wikidata"",25:1--25:7,25,7,""Web app, Wikidata, Wikipedia, realtime monitoring, study"",10.1145/2641580.2641613,,,,,,,2014,,Proceedings of The International Symposium on Open Collaboration,OpenSym '14,,978-1-4503-3016-9,""Berlin, Germany"",ACM,""New York, NY, USA""";;;;
